issue_id,source_audit,issue,severity_for_portfolio,evidence_required,evidence_found,action_taken,manuscript_location,artifact_created_or_updated,verification_command,final_status,unresolved_reason
A11,claude_axiom_F10,"run manifests record repo dirty=true with source_dirty=false","OBSERVATION","cli.py source_tree_dirty scope","refusal gate scoped to source/contract/data by design; v3 parser bug fixed and disclosed","documented in revision log; no manuscript change needed","n/a","release/portfolio_revision/revision_log.md","n/a","NOT_APPLICABLE","no defect: enforcement scope is by design and recorded in artifacts"
A12,claude_axiom_F11,"artifact contains a third (expected-value) decision rule where unweighted RF reaches 0.3392; unreported","OBSERVATION","decision_rule_sensitivity.md","value confirmed; median rule was protocol-frozen; exp-round optimizes neither declared loss","intentionally not added to the paper (would be post-hoc rule shopping); artifact remains public","n/a","none","n/a","NOT_APPLICABLE","reporting it as a headline would be post-hoc decision-rule selection"
A13,claude_axiom_F12,"analysis plan specified 10 dev seeds; executed 3 (disclosed in protocol, not in paper)","OBSERVATION","protocol execution-amendment table","deviation disclosed at protocol level; paper states three seeds factually","no change; protocol document is the deviation record","Sec.5.3","none","n/a","NOT_APPLICABLE","already disclosed where deviations are catalogued"
A14,claude_axiom_lang,"title words 'Reproducible' / 'Leakage-Controlled' could overread","MINOR","n/a (wording)","terms now defined early and scoped","title retained (prior circulated versions; mentor review continuity); 'leakage-controlled' defined in Sec.1; reproducible scoped to self-reproduction in Sec.3.6/11/12","Sec.1; Sec.11 item 12; Sec.12.1","none","grep for scope sentences","RESOLVED_BY_REFRAMING",
B1,kit_MC1,"blank-severity construct: is blank truly PDO or co-missing?","MAJOR (construct; disclosed)","custodian codebook; co-missingness tests","count fields are EXPLICIT ZEROS for all 32046 blanks (co-missingness disfavored for counts); person-level injury field IS co-missing; quarantined rows share the zero signature; count fields internally inconsistent at source","both-directions evidence added to Sec.4.2; audit artifact created; formal custodian request drafted (names the Form 12-200 Instruction Manual and DOT&PF data dictionary)","Sec.4.2; Sec.11 item 3; roadmap Phase 1","experiment/target_reporting_process_audit.json/.md; release/portfolio_revision/custodian_semantics_request.md","python -m crashsev.target_reporting_audit","DEFERRED_EXTERNAL_EVIDENCE","official semantics require the source custodian; automated retrieval of the instruction manual returned HTTP 403"
B2,kit_MC2,"exact operational prediction moment undefined","MAJOR (construct; disclosed)","per-field recording-time evidence","no custodian evidence exists; all timing grades author-judged","per-field ledger generated (0 fields VERIFIED_EARLY); RQ reworded to 'not explicitly derived from recorded injury outcomes'; explicit no-validated-timestamp statements added","Sec.1 RQ; Sec.4.3; Sec.11 item 4","paper/FEATURE_TIMING_EVIDENCE.md","python -m crashsev.feature_timing_evidence","DEFERRED_EXTERNAL_EVIDENCE","recording-stage facts require the source agency workflow documentation"
B3,kit_MC3,"weighted ORF is primary while unweighted forests lead the declared metric","MODERATE (framing)","frozen role registry + dev report","roles frozen in registry (WGT-001); guard test forbids ablation candidacy; paper prints ablations' superiority","'role-based designation, not the overall oMAE leader' language added throughout; weighting labeled an experimental factor, not a utility choice; primary model NOT relabeled (preservation rule)","abstract; Sec.7; Sec.8.2","none","pytest tests/test_governance.py","RESOLVED_BY_REFRAMING",
B4,kit_MC4,"'one governed run' could read as one statistical look at an unseen holdout","MODERATE (framing)","run inventory + timeline","one controlled execution generated many analyses on the exposed cohort; v3 had already evaluated 2012","'one controlled execution ... not one statistical look at an unseen holdout' wording in Sec.5 and Sec.5.3; abstract updated","Sec.5; Sec.5.3; abstract","none","grep","RESOLVED",
B6,kit_MC6,"case-bootstrap interval narrower than the scientific uncertainty (dependence; model selection; construct)","MODERATE","cluster ids (absent); proxy analyses","day-cluster CI [-0.0233,-0.0052]; week-cluster [-0.0261,-0.0036]; all LOO group deltas negative; severe-metric CIs attached","CI-scope sentences added (abstract; Sec.8.3); proxy-cluster paragraph in Sec.8.8; limitations 5/7 expanded","abstract; Sec.8.3; Sec.8.8; Sec.11","experiment/cluster_bootstrap_sensitivity.json; experiment/agency_leave_one_out.json; experiment/severe_metric_uncertainty.json","python -m crashsev.cluster_bootstrap_sensitivity","RESOLVED_BY_REFRAMING","true dependence model still requires cluster identifiers the extract lacks"
B7,kit_MC7,"oMAE encodes an unstated equal-spacing cost convention","MODERATE","n/a (definitional)","confirmed: convention not elicited from stakeholders","convention sentence added after the oMAE definition; new 'Loss convention' limitation","Sec.6.3; Sec.11 item 6","none","grep","RESOLVED",
B8,kit_mod_factorial,"causal wording ('cause'; 'dominant source') for the leakage factorial","MODERATE (language)","leakage_factorial.json","all 8 cells verified; contrasts conditional","finding line reworded to matched-diagnostic language; conditionality sentence added; Figure 8 caption updated; abstract/conclusion/Sec.10.2 aligned","Sec.8.5; Fig.8 caption; abstract; Sec.10.2; conclusion","none","python tools/verify_manuscript_numbers.py source","RESOLVED",
B9,kit_mod_ranking_unc,"ranking metrics reported without uncertainty; 'the signal is real'","MODERATE","row-level predictions","post-hoc case-bootstrap CIs computed (AP [0.169,0.243]; AUROC [0.772,0.814]; recall [0.038,0.080]; precision [0.378,0.658])","'signal is real' removed; point-estimate status stated; post-hoc CIs quoted with artifact","Sec.9","experiment/severe_metric_uncertainty.json/.md; crashsev/severe_metric_uncertainty.py","python -m crashsev.severe_metric_uncertainty","RESOLVED",
B10,kit_mod_temporal,"only two rolling-origin transitions; one temporal transfer","MODERATE (design; disclosed)","a genuinely later cohort","not obtainable locally","limitation already explicit (Sec.11 item 2); roadmap Phase 2 unchanged","Sec.11 item 2; Sec.14","none","n/a","DEFERRED_EXTERNAL_EVIDENCE","later Alaska cohort not in the licensed archive"
B11,kit_missing_evidence,"independent third-party reproduction","MAJOR (status; disclosed)","external party runs the package","verifier ships in the handoff; nobody external has run it","self-reproduction language verified throughout; roadmap Phase 2 item 4","Sec.11 item 12; Sec.12.1; Sec.14","none","n/a","DEFERRED_EXTERNAL_EVIDENCE","requires a third party by definition"
B12,kit_reference_audit,"cited external sources not cached locally; citations unverifiable offline","MINOR","cached copies of 15+ sources","metadata verified against bibliographic knowledge; automated caching blocked (nhtsa.gov/highways.dot.gov HTTP 403)","custodian request lists the two decisive documents; citation-support pairings re-reviewed (no overreach found; nhtsa2024 remains uncited/unrendered)","references","release/portfolio_revision/custodian_semantics_request.md","n/a","DEFERRED_EXTERNAL_EVIDENCE","official sites block automated retrieval; manual download recommended"
C1,revision_directive_7.1.9,"does a missingness-indicator-only model beat majority?","new evidence","executable probe + artifact","YES for logistic (0.3583; CI excludes 0); NO for matched unweighted RF","probe run under the chronological design; labeled post hoc; predictions surrogate-keyed and hash-pinned","Sec.8.8; Sec.11 item 5","experiment/target_reporting_process_audit.json (q9); experiment/missingness_only_predictions.parquet (gitignored; hash pinned)","python -m crashsev.target_reporting_audit","RESOLVED",
C2,revision_directive_7.5,"leave-one-agency-out sensitivity","new evidence","reporting-agency field","CORRECTED 2026-07-15: agency fields (Officer Agency/Reporting Agency/Detachment) EXIST in the licensed raw extract (column_inventory_09_12.csv) but were removed as identifier-tier columns at de-identification; no agency label survives in the retained table or released evidence","documented; nearest proxies computed (leave-one-region/borough/maintenance-group-out; all deltas negative)","Sec.8.8","experiment/agency_leave_one_out.json","python -m crashsev.cluster_bootstrap_sensitivity","DEFERRED_EXTERNAL_EVIDENCE","agency labels removed at de-identification and raw file absent by policy; requires licensed re-supply/custodian join"
C3,revision_directive_11,"old checksum manifest refers to superseded deliverables","release engineering","fresh manifests for this build","confirmed (prior SHA256.txt carries 2026-07-12 hashes)","all release hashes computed fresh for this build; prior deliverable set left untouched","n/a","release/portfolio_revision/SHA256SUMS.txt; build_manifest.json; artifact_manifest.json","Get-FileHash","RESOLVED",
