analysis_id,description,status,first_run_commit_or_time,run_id,uses_2012_labels,changes_governed_output,reported_location
A16-severe-metric-uncertainty,"Descriptive case-bootstrap intervals for the primary model's severe recall, precision, AP, AUROC (450 severe positives; crash-level unit)",post-hoc,git 42194a619c3a,final_8af9d5bc23d8,yes,no,Sec.9
A17-proxy-cluster-dependence,"Calendar-day (366), calendar-week (53), region (4), borough (18), and maintenance-responsibility (9) proxy-cluster resampling and leave-one-out re-evaluation of the primary contrast",post-hoc,git 42194a619c3a,final_8af9d5bc23d8,yes,no,Sec.8.8; Sec.11(7)
A18-agency-cluster-deferred,Agency-cluster dependence analysis: DEFERRED — agency fields exist in the licensed raw extract but were removed as identifier-tier columns at de-identification; no row-level agency label is joinable without licensed re-supply,post-hoc,git 42194a619c3a,deferred (feasibility record only; no analysis executed),no (no analysis executed),no,Sec.8.8; Sec.11(7)
A19-prediction-roundtrip,Lossless round-trip verification of the de-identified prediction evidence (packaging verification),post-hoc,git 42194a619c3a,final_8af9d5bc23d8,yes,no,Sec.12.1
A20-iteration3-reanalysis,Re-analysis of the four Iteration III published confusion matrices (historical; the prior random 80/20 split drew from 2009-2012),post-hoc,"transcribed source matrices (N=10,936)",none (recomputation of published matrices),yes,no,Sec.8.1; Appendix B
A21-v3-comparison,Comparison against the historical v3 frozen runs (superseded protocol; preserved un-overwritten); assembled for the protocol-correction narrative,post-hoc,v3 runs preserved at their original commits,final_f27613102c96; final_17f99a4c8f94,yes,no,Sec.8.7
A22-feature-timing-ledger,Per-field timing-evidence ledger: author-judged grades; 0 of 100 fields custodian-verified (documentation),post-hoc,v4.1 revision addendum (paper/FEATURE_TIMING_EVIDENCE.md),none (documentation),no,no,Sec.4.3; Sec.11(4)
A23-hyperparameter-ledger,Fixed model configurations extracted from registry code and the frozen configuration (documentation; no search was run),post-hoc,config f174006aa81b,none (documentation),no,no,Appendix D
A24-metric-conventions,"Machine-readable metric-convention sidecar: unnormalized RPS, log-loss clipping epsilon, ECE binning, F1 zero-division reporting convention, paired-bootstrap mechanics, Frank-Hall probability construction (documentation; extracted from code)",post-hoc,correction release + r3 pass (experiment/metric_conventions.json),none (documentation),no,no,Sec.6.2; Sec.6.4; Sec.6.5; Sec.8.4
A25-complete-result-tables,"Complete Appendix A and development-results tables generated from the frozen artifacts under the stated count-based F1 reporting convention (display of stored values; recomputed from stored confusion matrices and asserted against the stored fields; no refit, no new interrogation)",post-hoc,r3 submission pass (tools/gen_full_results_tables.py; tools/gen_dev_results_table.py),final_8af9d5bc23d8,yes,no,Sec.6.4; Appendix A; Appendix F
A26-severe-reliability-diagram,Severe-class reliability diagram: calibrated points from the frozen run artifact; raw curve recomputed from the released frozen probabilities under the same 10-bin rule (presentation-level derivation; no refit),post-hoc,r3 submission pass (figure_generation/make_figures.py::fig06c_reliability),final_8af9d5bc23d8,yes,no,Sec.8.4
