column,availability,allowed_post_crash_triage,high_coupling,strict_scene_tier,rationale
Number of Injuries without Fatailites,post_outcome,False,False,False,injury count (sic) — direct leak
Number of Pedestrians Involved,at_event,True,False,True,count of pedestrians involved
Number of Persons Involved,at_event,True,False,True,crash size (persons)
Number of Units Involved,at_event,True,False,True,count of units (vehicles) involved
Officer Agency,identifier,False,False,False,reporting agency id
Officer ID,identifier,False,False,False,reporting-officer id (PII)
Pavement,at_event,True,False,True,pavement type/condition
Posted Speed,pre_event,True,False,True,posted speed limit
Region,pre_event,True,False,True,DOT region (coarse geography)
Report ID,identifier,False,False,False,report id
Reporting Agency,identifier,False,False,False,reporting agency id
Road Surface,at_event,True,False,True,road surface condition (snow/ice/wet…)
Roadway Characteristics,pre_event,True,False,True,roadway geometry/character
Roadway Junction,pre_event,True,False,True,junction type
Route,identifier,False,False,False,"route id — fine location, re-identifying"
Rural Urban,pre_event,True,False,True,rural/urban context
Street,identifier,False,False,False,"free-text street — fine location, re-identifying"
Temperature,at_event,True,False,True,ambient temperature at crash time
Temperature Range,at_event,True,False,True,binned temperature at crash time
Time of Day,temporal,True,False,True,hour band — lighting/traffic-exposure proxy
Unit 1 Action,at_event,True,False,True,primary unit's action/maneuver
Unit 1 CV Configuration,at_event,True,False,True,CV configuration
Unit 1 CV Haz-Mat Released,at_event,True,False,False,"haz-mat release flag ; STRICT-EXCLUDED: event-consequence flag, recorded during/after response"
Unit 1 CV Issuing Authority,at_event,True,False,True,CV issuing authority
Unit 1 CV Placard,at_event,True,False,True,CV placard
Unit 1 Commercial Vehicle (CV),at_event,True,False,True,is unit a commercial vehicle
Unit 1 Damage,post_outcome,False,False,False,vehicle damage extent — co-measurement of harm
Unit 1 Direction of Travel,at_event,True,False,True,unit direction of travel
Unit 1 License Plate State,at_event,True,False,True,plate state (local vs out-of-state)
Unit 1 Make,constant,False,False,False,single-valued in extract — dropped
Unit 1 Model Year,at_event,True,False,True,vehicle model year (age proxy)
Unit 1 Non-CV Configuration,at_event,True,False,True,non-CV body configuration
Unit 1 Occupants,at_event,True,False,True,number of occupants in unit
Unit 1 Person 1 Age Range,at_event,True,False,True,driver age band
Unit 1 Person 1 Alcohol or Drug Use Suspected,at_event,True,False,False,impairment suspected at scene ; STRICT-EXCLUDED: investigation judgment (94% missing; recording stage unevidenced)
Unit 1 Person 1 Circumstance,at_event,True,False,False,person contributing circumstance (behavior) ; STRICT-EXCLUDED: contributing-circumstance judgment (report-stage coding)
Unit 1 Person 1 Ejected,at_event,True,True,False,ejection (kinematics) — HIGH-COUPLING with injury ; STRICT-EXCLUDED: HIGH-COUPLING with injury (kinematics)
Unit 1 Person 1 Environment Circumstance,at_event,True,False,False,environmental circumstance ; STRICT-EXCLUDED: contributing-circumstance judgment (report-stage coding)
Unit 1 Person 1 Extricated,post_outcome,False,False,False,extrication — post-crash response to entrapment/injury
Unit 1 Person 1 Gender,at_event,True,False,True,driver gender
Unit 1 Person 1 Injury,post_outcome,False,False,False,the person's injury code — IS the outcome
Unit 1 Person 1 Insurance Coverage,at_event,True,False,False,insurance coverage (scene fact) ; STRICT-EXCLUDED: document exchange/verification (plausibly report-stage)
Unit 1 Person 1 NFR,post_outcome,False,False,False,ambiguous post-report field — excluded conservatively
Unit 1 Person 1 Raw Age,at_event,True,False,True,driver age (raw)
Unit 1 Person 1 Residence State,at_event,True,False,True,resident vs visitor (scene fact)
Unit 1 Person 1 Restraint,at_event,True,True,False,restraint use — HIGH-COUPLING with injury ; STRICT-EXCLUDED: HIGH-COUPLING with injury
Unit 1 Person 1 Seat Location,at_event,True,True,False,seat position — HIGH-COUPLING with injury ; STRICT-EXCLUDED: HIGH-COUPLING with injury
Unit 1 Person 1 Test Given,at_event,True,False,False,impairment test administered at scene ; STRICT-EXCLUDED: test administration can follow injury/impairment assessment
Unit 1 Person 1 Transported,post_outcome,False,False,False,EMS transport — post-crash response to injury
Unit 1 Person 1 Transported By,post_outcome,False,False,False,EMS transport mode — post-crash response
Unit 1 Person 1 Transported To,post_outcome,False,False,False,destination facility — post-crash response
Unit 1 Person 1 Type,at_event,True,False,True,person type (driver/…)
Unit 1 Person 1 Violations,post_outcome,False,False,False,post-crash adjudication
Unit 1 Primary Contributing Circumstance,at_event,True,False,False,primary contributing circumstance (cause) ; STRICT-EXCLUDED: contributing-circumstance judgment (report-stage coding)
Unit 1 Primary Damage Location,at_event,True,False,False,impact location on vehicle (collision config) ; STRICT-EXCLUDED: damage assessment (co-determined with outcome severity)
Unit 1 Road Circumstance,at_event,True,False,False,road circumstance contributing ; STRICT-EXCLUDED: contributing-circumstance judgment (report-stage coding)
Unit 1 Secondary Sequence of Events,at_event,True,False,False,secondary events in the crash sequence ; STRICT-EXCLUDED: crash-sequence reconstruction (report-stage coding)
Unit 1 Towed,post_outcome,False,False,False,tow disposition — post-crash outcome of damage
Unit 1 Traffic Control,at_event,True,False,True,traffic control present
Unit 1 Undercarriage Damage,post_outcome,False,False,False,rollover/undercarriage damage extent — co-measurement of harm
Weather,at_event,True,False,True,weather condition
Week of the Year,temporal,True,False,True,week-of-year — seasonality (correlated with Month)
Year,temporal,False,False,False,split axis / source-version proxy — WITHHELD as a feature
